"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 18:11:59 EET 2022","Wed Nov 30 18:12:26 EET 2022","27415","firefox","passwordRecovery.spec.ts","","","","A5 - Check the ability to recover password",""
"passed","Wed Nov 30 18:12:45 EET 2022","Wed Nov 30 18:12:53 EET 2022","7699","webkit","registration.test.ts","","","","A2 - Checking that it is not possible to register a new user without entering an email",""
"passed","Wed Nov 30 18:11:35 EET 2022","Wed Nov 30 18:11:45 EET 2022","9650","chromium","registration.test.ts","","","","A2 - Checking that it is not possible to register a new user without entering an email",""
"passed","Wed Nov 30 18:11:23 EET 2022","Wed Nov 30 18:11:34 EET 2022","11261","chromium","login.spec.ts","","","","A3 - Check the sign in of an existing user",""
"passed","Wed Nov 30 18:12:00 EET 2022","Wed Nov 30 18:12:15 EET 2022","14948","firefox","registration.test.ts","","","","A1 - Check the registration of a new user with valid data",""
"passed","Wed Nov 30 18:11:23 EET 2022","Wed Nov 30 18:11:35 EET 2022","11907","chromium","passwordRecovery.spec.ts","","","","A5 - Check the ability to recover password",""
"passed","Wed Nov 30 18:12:23 EET 2022","Wed Nov 30 18:12:32 EET 2022","8612","firefox","search.spec.ts","","","","A4 - Check  the ability to use search filters",""
"passed","Wed Nov 30 18:12:36 EET 2022","Wed Nov 30 18:12:48 EET 2022","11817","webkit","registration.test.ts","","","","A1 - Check the registration of a new user with valid data",""
"passed","Wed Nov 30 18:11:48 EET 2022","Wed Nov 30 18:12:00 EET 2022","12189","firefox","login.spec.ts","","","","A3 - Check the sign in of an existing user",""
"passed","Wed Nov 30 18:12:48 EET 2022","Wed Nov 30 18:12:54 EET 2022","5599","webkit","search.spec.ts","","","","A4 - Check  the ability to use search filters",""
"passed","Wed Nov 30 18:11:34 EET 2022","Wed Nov 30 18:11:47 EET 2022","12522","chromium","registration.test.ts","","","","A1 - Check the registration of a new user with valid data",""
"passed","Wed Nov 30 18:12:34 EET 2022","Wed Nov 30 18:12:45 EET 2022","10460","webkit","passwordRecovery.spec.ts","","","","A5 - Check the ability to recover password",""
"passed","Wed Nov 30 18:11:45 EET 2022","Wed Nov 30 18:11:57 EET 2022","12151","chromium","search.spec.ts","","","","A4 - Check  the ability to use search filters",""
"passed","Wed Nov 30 18:12:15 EET 2022","Wed Nov 30 18:12:23 EET 2022","8482","firefox","registration.test.ts","","","","A2 - Checking that it is not possible to register a new user without entering an email",""
"passed","Wed Nov 30 18:12:28 EET 2022","Wed Nov 30 18:12:36 EET 2022","8138","webkit","login.spec.ts","","","","A3 - Check the sign in of an existing user",""
